factors_by_location_view_id,location,infection_rate,death_rate,avg_stringency_index,avg_population_density,avg_cardiovasc_death_rate,avg_aged_70_older,avg_handwashing_facilities,avg_human_development_index,avg_life_expectancy,full_vaccination_rate
83,Guyana,5.2399,0.0995,36.9575323,3.952,373.159,2.836999893,77.15899658,0.681999981,69.91000366,38.1355
13,Azerbaijan,5.072,0.0637,42.47463824,119.309,559.812,3.871000051,83.24099731,0.755999982,73,38.944
100,Kazakhstan,4.8048,0.0648,36.27936693,6.681,466.792,4.625,98.99900055,0.824999988,73.59999847,86.6626
111,Libya,4.7732,0.0629,40.19790698,3.623,341.862,2.815999985,0,0.723999977,72.91000366,29.6692
181,South Africa,4.5064,0.1195,31.05,46.754,200.38,3.052999973,43.99300003,0.708999991,64.12999725,50.5003
66,Fiji,4.4023,0.056,38.24936693,49.562,412.82,3.28399992,0,0.742999971,67.44000244,40.4574
134,Namibia,4.2962,0.1022,25.00496124,3.078,243.811,2.085000038,44.59999847,0.646000028,63.70999908,49.1946
63,Eswatini,3.8589,0.08,34.39773256,79.492,333.436,1.845000029,24.09700012,0.611000001,60.18999863,48.1199
23,Bhutan,3.8373,0.0013,35.8845478,21.188,217.066,2.976999998,79.80699921,0.653999984,71.77999878,27.9176
80,Guatemala,3.8322,0.0729,37.84849483,157.834,155.898,3.016000032,76.66500092,0.662999988,74.30000305,36.3157
56,Dominican Republic,3.7633,0.0304,31.88996124,222.873,266.653,4.419000149,55.18199921,0.755999982,74.08000183,38.5333
92,Iraq,3.7107,0.0419,41.33397933,88.125,218.612,1.957000017,94.5759964,0.674000025,70.59999847,39.4418
57,Ecuador,3.5667,0.1445,33.79989018,66.939,140.448,4.458000183,80.63500214,0.759000003,77.01000214,40.6915
191,Thailand,3.5352,0.026,30.39918657,135.132,109.861,6.889999866,90.66999817,0.77700001,77.15000153,38.9122
125,Mexico,3.5189,0.1917,31.06595361,66.444,152.783,4.321000099,87.84700012,0.778999984,75.05000305,41.7829
167,Samoa,3.3497,0.0061,0,69.413,348.977,3.563999891,0,0.714999974,73.31999969,40.0042
97,Jamaica,3.2563,0.0734,38.21826227,266.879,206.537,6.389999866,66.42500305,0.734000027,74.47000122,48.7518
85,Honduras,2.9982,0.0743,44.49682171,82.805,240.208,2.882999897,84.16899872,0.634000003,75.26999664,38.7163
131,Morocco,2.2307,0.0306,38.08783592,80.08,419.146,4.209000111,0,0.68599999,76.68000031,43.984
136,Nepal,2.1986,0.027,36.24051034,204.43,260.797,3.211999893,47.7820015,0.601999998,70.77999878,44.2666
155,Philippines,2.1635,0.0352,41.40576227,351.873,370.437,2.661000013,78.46299744,0.717999995,71.23000336,43.423
41,China,2.1416,0.0029,51.90651163,147.674,261.899,5.928999901,0,0.760999978,76.91000366,4.2693
89,India,2.0977,0.0257,40.62796284,450.419,282.28,3.414000034,59.54999924,0.644999981,69.66000366,42.1664
59,El Salvador,1.9473,0.0461,29.31835271,307.811,167.295,5.416999817,90.65000153,0.672999978,73.31999969,41.3481
184,Sri Lanka,1.9331,0.0466,36.26193798,341.955,197.093,5.330999851,0,0.782000005,76.98000336,39.1803
169,Sao Tome and Principe,1.789,0.0228,0,212.841,270.113,2.161999941,41.34000015,0.625,70.38999939,39.4919
209,Vanuatu,1.6634,0.002,20.70610465,22.662,546.3,2.619999886,25.20899963,0.609000027,70.47000122,41.8017
102,Kiribati,1.6463,0.007,17.83736434,143.701,434.657,2.210000038,0,0.629999995,68.37000275,36.2196
170,Saudi Arabia,1.5953,0.0202,32.2649677,15.322,259.538,1.845000029,0,0.853999972,75.12999725,37.6359
106,Laos,1.5137,0.0048,32.66845607,29.715,368.111,2.322000027,49.8390007,0.612999976,67.91999817,47.791
90,Indonesia,1.4804,0.0381,38.55017442,145.725,342.864,3.052999973,64.20400238,0.717999995,71.72000122,48.5936
179,Solomon Islands,1.4739,0.0111,25.88186047,21.841,459.78,2.042999983,35.88999939,0.566999972,73,33.828
70,Gabon,1.3628,0.0087,33.60406977,7.859,259.967,2.976000071,0,0.703000009,66.47000122,45.5436
210,Venezuela,1.2621,0.0136,39.08319121,36.253,204.85,3.914999962,0,0.711000025,72.05999756,37.1738
192,Timor,1.0813,0.0062,25.65627907,87.176,335.346,1.896999955,28.1779995,0.606000006,69.5,40.4943
213,Zambia,1.0636,0.0135,22.50873385,22.995,234.499,1.542000055,13.93799973,0.583999991,63.88999939,63.2691
54,Djibouti,1.029,0.0125,28.20754522,41.285,258.037,2.380000114,0,0.523999989,67.11000061,81.8995
214,Zimbabwe,0.96,0.0224,41.25208656,42.729,307.846,1.881999969,36.79100037,0.57099998,61.49000168,40.0736
109,Lesotho,0.9443,0.0205,31.07858527,73.562,405.126,2.647000074,2.117000103,0.52700001,54.33000183,75.7325
123,Mauritania,0.8428,0.0149,25.67598837,4.289,232.347,1.792000055,15.94999981,0.546000004,64.91999817,49.9709
105,Kyrgyzstan,0.7965,0.0092,32.58088501,32.333,436.362,2.881999969,89.22000122,0.697000027,71.44999695,37.7736
16,Bangladesh,0.7869,0.0118,35.19976864,1265.036,298.003,3.262000084,34.80799866,0.632000029,72.58999634,39.2796
133,Myanmar,0.7403,0.0232,45.12465762,81.721,202.104,3.119999886,79.28700256,0.583000004,67.12999725,42.8336
60,Equatorial Guinea,0.6985,0.0081,0,45.194,202.812,1.751999974,24.63999939,0.592000008,58.74000168,38.9549
43,Comoros,0.6653,0.0141,0,437.352,261.516,1.725999951,15.57400036,0.55400002,64.31999969,41.9556
162,Rwanda,0.6042,0.0068,38.03982558,494.869,191.375,1.64199996,4.617000103,0.542999983,69.01999664,31.0932
33,Cambodia,0.5121,0.0113,31.94653747,90.672,270.892,2.38499999,66.22899628,0.593999982,69.81999969,42.6382
148,Pakistan,0.4616,0.0093,36.99731912,255.573,423.031,2.779999971,59.60699844,0.556999981,67.26999664,35.5285
132,Mozambique,0.4441,0.0045,31.03830749,37.728,329.942,1.870000005,12.22700024,0.456,60.84999847,82.912
101,Kenya,0.4226,0.0073,36.49760982,87.324,218.637,1.527999997,24.65099907,0.601000011,66.69999695,39.8537
3,Algeria,0.4131,0.0109,34.24485142,17.348,278.364,3.857000113,83.74099731,0.748000026,76.87999725,39.5915
74,Ghana,0.3557,0.003,30.1480814,126.719,298.245,1.947999954,41.04700089,0.611000001,64.06999969,46.972
171,Senegal,0.3502,0.008,18.86023256,82.328,241.219,1.796000004,20.85899925,0.512000024,67.94000244,45.6285
1,Afghanistan,0.3399,0.0133,19.39564599,54.422,597.029,1.337000012,37.74599838,0.510999978,64.83000183,81.0055
71,Gambia,0.3177,0.0095,23.28196382,207.566,331.43,1.417000055,7.875999928,0.495999992,62.04999924,57.265
58,Egypt,0.31,0.0156,30.6377584,97.999,525.432,2.891000032,89.82700348,0.707000017,71.98999786,37.2009
34,Cameroon,0.306,0.0049,22.33193152,50.885,244.661,1.91900003,2.734999895,0.563000023,59.29000092,51.373
82,Guinea-Bissau,0.291,0.0056,0,66.191,382.474,1.565000057,6.402999878,0.479999989,58.31999969,39.8557
208,Uzbekistan,0.2842,0.0017,27.37384367,76.134,724.417,2.872999907,0,0.720000029,71.72000122,13.7248
117,Malawi,0.2813,0.0088,27.5995801,197.519,227.349,1.782999992,8.704000473,0.48300001,64.26000214,39.63
44,Congo,0.2801,0.0043,30.82043282,15.405,344.094,2.062999964,47.9640007,0.574000001,64.56999969,31.7408
193,Togo,0.2769,0.0022,30.82179587,143.366,280.033,1.524999976,10.47500038,0.514999986,61.04000092,37.098
152,Papua New Guinea,0.2746,0.0039,32.00124677,18.22,561.494,2.14199996,0,0.555000007,64.5,42.7507
64,Ethiopia,0.269,0.0042,31.88692506,104.957,182.634,2.062999964,7.960000038,0.485000014,66.59999847,19.0996
201,Uganda,0.2321,0.0049,38.06575581,213.759,213.333,1.307999969,21.22200012,0.54400003,63.36999893,39.0931
32,Burundi,0.2214,0.0001,11.22192506,423.062,293.068,1.503999949,6.144000053,0.432999998,61.58000183,89.5968
46,Cote d'Ivoire,0.211,0.0019,17.61274548,76.399,303.74,1.582000017,19.35099983,0.537999988,57.77999878,28.6277
84,Haiti,0.1972,0.005,31.25859819,398.448,430.548,2.953999996,22.86300087,0.50999999,64,43.3246
38,Central African Republic,0.1965,0.0016,16.92390827,7.479,435.727,2.250999928,16.60300064,0.397000015,53.27999878,84.2466
81,Guinea,0.1955,0.0022,37.3550646,51.755,336.717,1.73300004,17.45000076,0.476999998,61.59999847,35.211
6,Angola,0.1832,0.0036,36.54872093,23.89,276.045,1.361999989,26.66399956,0.58099997,61.15000153,33.3339
61,Eritrea,0.178,0.0016,0,44.304,311.11,2.171000004,0,0.458999991,66.31999969,\N
116,Madagascar,0.1539,0.0032,26.60125969,43.951,405.994,1.68599999,50.54000092,0.527999997,67.04000092,85.6818
140,Nicaragua,0.1511,0.0027,8.024515504,51.667,137.016,3.519000053,0,0.660000026,74.48000336,44.9609
189,Tajikistan,0.1436,0.001,19.73917313,64.281,427.698,2.154999971,72.70400238,0.667999983,71.09999847,37.5225
21,Benin,0.1337,0.0009,22.7798385,99.11,235.848,1.942000031,11.03499985,0.545000017,61.77000046,58.8935
180,Somalia,0.1041,0.0052,21.15886951,23.5,365.769,1.496000051,9.831000328,0,57.40000153,60.1734
110,Liberia,0.0992,0.004,32.09458656,49.127,272.509,1.756000042,1.187999964,0.479999989,64.09999847,82.5715
185,Sudan,0.0933,0.0071,20.84832687,23.258,431.388,2.03399992,23.43700027,0.50999999,65.30999756,51.3489
120,Mali,0.0915,0.0023,26.58030362,15.196,268.024,1.485999942,52.23199844,0.433999985,59.31000137,55.1792
142,Nigeria,0.086,0.0011,28.87350129,209.588,181.013,1.447000027,41.94900131,0.538999975,54.68999863,46.9498
31,Burkina Faso,0.0657,0.0011,14.51060724,70.151,269.048,1.35800004,11.87699986,0.451999992,61.58000183,56.8865
174,Sierra Leone,0.0649,0.0012,30.25549742,104.7,325.721,1.284999967,19.27499962,0.451999992,54.70000076,56.3641
52,Democratic Republic of Congo,0.0619,0.001,26.50222222,35.879,318.949,1.745000005,4.472000122,0.479999989,60.68000031,60.3349
190,Tanzania,0.0365,0.0008,10.58911499,64.699,217.288,1.873999953,47.95299911,0.528999984,65.45999908,75.7532
39,Chad,0.0298,0.0009,25.7104199,11.833,280.995,1.44599998,5.81799984,0.398000002,54.24000168,35.9965
141,Niger,0.0246,0.0009,15.11644057,16.955,238.339,1.378000021,8.977999687,0.393999994,62.41999817,65.4845
212,Yemen,0.0239,0.0045,18.01827519,53.508,495.003,1.582999945,49.54199982,0.469999999,66.12000275,51.2921
86,Hong Kong,0,0,41.3043222,7039.714,0,10.15799999,0,0.949000001,84.86000061,35.9828
115,Macao,0,0,31.28150943,20546.766,0,4.991000175,0,0,84.23999786,39.8517
143,North Korea,0,0,0,211.701,321.681,6.138999939,0,0,72.26999664,\N
198,Turkmenistan,0,0,34.58806848,12.253,536.783,2.540999889,100,0.714999974,68.19000244,23.9912
