infection_death_rate_id,location,continent,total_cases,total_deaths,total_population,infection_rate,death_rate,infected_population,dead_population_no
199,"Sudan","Africa",67672611,5132007,69280067600,0.0977,0.0074,69212394989,69274935593
126,"Mali","Africa",32002220,812582,33077027472,0.0968,0.0025,33045025252,33076214890
151,"Nigeria","Africa",290887665,3613496,326063494272,0.0892,0.0011,325772606607,326059880776
187,"Sierra Leone","Africa",8645157,154328,12538538411,0.0689,0.0012,12529893254,12538384083
33,"Burkina Faso","Africa",23067443,399078,33511823192,0.0688,0.0012,33488755749,33511424114
55,"Democratic Republic of Congo","Africa",94842336,1602963,146337099248,0.0648,0.0011,146242256912,146335496285
205,"Tanzania","Africa",37044971,800169,96347193192,0.0384,0.0008,96310148221,96346393023
41,"Chad","Africa",8162135,237648,26070991952,0.0313,0.0009,26062829817,26070754304
150,"Niger","Africa",9974967,351176,38551941522,0.0259,0.0009,38541966555,38551590346
229,"Yemen","Asia",12468214,2344548,48860087400,0.0255,0.0048,48847619186,48857742852
